ID,Sentences,niveau1,niveau2,niveau3,combined_labels,Sentences_clean
568,"Bon je ne veux pas faire peur, je sais que le titre doit faire paniquer",partage_experience,NA_CATEGORY,negatif,RARE_CLASS,bon veux pa faire peur sais titre doit faire paniquer
656,AIDEZ MOI VITE,fonction_phatique,NA_CATEGORY,negatif,fonction_phatique_NA_CATEGORY_negatif,aidez vite
784,"Deux questions me turlupinent, arrivez vous a dormir avec cette fameuse machine ?",recherche_information,traitement,non,recherche_information_traitement_non,deux question turlupinent arrivez a dormir cette fameuse machine
510,"Effectivement, je comprends tes craintes.",fonction_phatique,symptome,non,RARE_CLASS,effectivement comprends craintes
905,"Auquel cas, cela fait d'elle une personne à risque dans la mesure où si elle devait être infectée par le coronavirus, elle serait plus vulnérable.",partage_experience,diagnostique,non,partage_experience_diagnostique_non,auquel ca cela fait personne risque mesure où si devait être infectée coronavirus plus vulnérable
256,"Et le plus souvent, je prends l 'exemple de pbm d apnees du sommeil graves et non traitées, on trouve aussi chez les patients des pbm cardiovasculaires, notemment de tension...",partage_experience,diagnostique,non,partage_experience_diagnostique_non,plus souvent prends exemple pbm apnees sommeil graf non traitées trouve aussi patient pbm cardiovasculaires notemment tension
51,Cela m´arrive depuis une semaine.,partage_experience,symptome,non,partage_experience_symptome_non,cela arrive depuis semaine
454,On m'a donc fourni un appareil nasal avec lequel ça se passe un peu mieux : j'arrive à m'endormir avec!,partage_experience,traitement,positif,partage_experience_traitement_positif,a fourni appareil nasal lequel passe peu mieux arrive endormir
702,"à chaque réveille (fin de rêve profond), je m'apperçois que je suis en sueur (peau mouillée), corp très chaud.",partage_experience,symptome,non,partage_experience_symptome_non,chaque réveille fin rêve profond apperçois sueur peau mouillée corp très chaud
297,"Ca peut arrivé à n'importe qui, qui apparemment la gorge ou trachée est compressée en sommeil, et l'air (oxygène) remonte mal depuis les poumons vers le nez...",partage_experience,diagnostique,non,partage_experience_diagnostique_non,ca peut arrivé importe apparemment gorge trachée compressée sommeil air oxygène remonte mal depuis poumons vers nez
890,"Est-il possible d'avoir une routine précise et officielle à suivre, car établie par un professionnel de santé, que je puisse lui mettre sous les yeux ?",recherche_information,traitement,non,recherche_information_traitement_non,possible avoir routine précise officielle suivre établie professionnel santé puisse mettre sou yeux
311,"Bonjour, et merci pour votre réponse.",fonction_phatique,NA_CATEGORY,non,fonction_phatique_NA_CATEGORY_non,bonjour merci réponse
405,"Mais franchement c'est tres compliqué, et ça ne relève pas forcément d'un pbm physiologique.",partage_experience,diagnostique,negatif,partage_experience_diagnostique_negatif,franchement tres compliqué relève pa forcément pbm physiologique
746,Sachant que je dors entre 8 à 10h par nuit (et me couche en général vers 22-23h).,partage_experience,symptome,non,partage_experience_symptome_non,sachant dors entre NUM NUM h nuit couche général vers NUM NUM h
922,"Car si c'est le cas et qu'elle a de la fièvre, il faudrait suspecter une infection à coronavirus et appeler le 15.",partage_experience,diagnostique,non,partage_experience_diagnostique_non,si ca a fièvre faudrait suspecter infection coronavirus appeler NUM
899,"Bonjour à vous, j'espère que vous allez bien.",fonction_phatique,NA_CATEGORY,positif,fonction_phatique_NA_CATEGORY_positif,bonjour espère allez bien
250,car encore une fois trop concentré ...,partage_experience,symptome,non,partage_experience_symptome_non,encore fois trop concentré
553,C'est peut-être votre cas.,partage_experience,diagnostique,non,partage_experience_diagnostique_non,peut être ca
49,ta la même chose que moi il faut que tu dort avec une machine(une sipape) c'est la seul solution je pense .,partage_experience,diagnostique,non,partage_experience_diagnostique_non,chose faut dort machine sipape seul solution pense
213,"Je vous envoie le site avec l'oreiller en question par message privé, si ça vous intéresse.",partage_experience,traitement,non,partage_experience_traitement_non,envoie site oreiller question message privé si intéresse
996,"En effet, cela ne semble pas bien grave.",partage_experience,diagnostique,non,partage_experience_diagnostique_non,effet cela semble pa bien grave
169,Car plus d'une fois je me suis réveillé comme si le caoutchou avait brulé mon nez avec le tout premier masque.,partage_experience,symptome,negatif,partage_experience_symptome_negatif,plus fois réveillé comme si caoutchou brulé nez tout premier masque
565,Il voit la pneumo demain.,partage_experience,traitement,non,partage_experience_traitement_non,voit pneumo demain
608,Alors je sais que sur internet on peut lire tout et n'importe quoi toutefois la coincidence est plus que troublante...,partage_experience,diagnostique,negatif,partage_experience_diagnostique_negatif,alors sais internet peut lira tout importe toutefois coincidence plus troublante
479,"J'ai peur, je suis très inquiète, j'essaie de gerer au mieux le comportement de ma fille, quand elle s'enerve beaucoup je la prend calmement et essaie de la calmer et de la poser un peu qu'elle se repose ...",partage_experience,symptome,negatif,partage_experience_symptome_negatif,peur très inquiète essaie gerer mieux comportement fille quand enerve beaucoup prend calmement essaie calmer poser peu repose
126,"Il s'endormait partout, au travail, et aussi une fois au volant de sa voiture.",partage_experience,symptome,non,partage_experience_symptome_non,endormait partout travail aussi fois volant voiture
70,Essaye de dormir sur le côté ça marchera si ça ne marche pas alors je ne sais pas ce que c'est.,partage_experience,diagnostique,non,partage_experience_diagnostique_non,essaye dormir côté marchera si marche pa alors sais pa
257,"Allez voir un neurologue, c'est sûr, et puis si j etais vous je ferais un ptit bilan cardiovasculaire, des pbm de tensions, ça peut etre la cause d'evanouissements....",partage_experience,diagnostique,non,partage_experience_diagnostique_non,allez voir neurologue sûr puis si etais ferais ptit bilan cardiovasculaire pbm tension peut etre cause evanouissements
840,"Bonjour Cindy,",fonction_phatique,NA_CATEGORY,non,fonction_phatique_NA_CATEGORY_non,bonjour cindy
433,j'étais au même taux d'apnée que toi.,partage_experience,traitement,non,partage_experience_traitement_non,taux apnée
300,"Et pour te répondre sur le physique : oui il y a aussi des gens hyper minces qui sont concernés, donc rien à voir avec le surpoids.",partage_experience,symptome,non,partage_experience_symptome_non,répondre physique oui a aussi gen hyper mince concernés rien voir surpoids
422,- 75 apnées à l’heure d’une durée moyenne de 35 secondes,partage_experience,symptome,non,partage_experience_symptome_non,NUM apnées heure durée moyenne NUM secondes
514,J'espère que tu auras un rdv très rapidement.,fonction_phatique,NA_CATEGORY,positif,fonction_phatique_NA_CATEGORY_positif,espère rdv très rapidement
67,il posera des questions pour faire un diagnostique et après effectuera une polygraphie ou polysomnographie si besoin.,partage_experience,diagnostique,non,partage_experience_diagnostique_non,posera question faire diagnostique après effectuera polygraphie polysomnographie si besoin
370,"Je souffre d’une fatigue atroce certains jours, couplé à un état quasi dépressif ( je ne le suis pas).",partage_experience,symptome,non,partage_experience_symptome_non,souffre fatigue atroce certains jours couplé état quasi dépressif pa
701,"depuis 1 mois maintenant, je me réveille entre 2h et 4h du mat après m'être couchée entre 22h et 23h.",partage_experience,symptome,non,partage_experience_symptome_non,depuis NUM mois maintenant réveille entre NUM h NUM h mat après être couchée entre NUM h NUM h
164,Du coups vois si tu ne peux pas te procurer une autre attache de masque ?,recherche_information,traitement,non,recherche_information_traitement_non,coup vois si peux pa procurer autre attache masque
724,"Je l'ignore, renseignez-vous.",partage_experience,diagnostique,non,partage_experience_diagnostique_non,ignore renseignez
876,Bien cordialement,fonction_phatique,NA_CATEGORY,non,fonction_phatique_NA_CATEGORY_non,bien cordialement
651,"j'ai essayé 2 sortes de masques FACIAl mais même avec ceux là j'ai la bouche déssèchée, et c'est pas facile de boire ainsi arnachée, alors en désespoir j'ai repris le masque nasal.",partage_experience,traitement,non,partage_experience_traitement_non,essayé NUM sortes masque facial là bouche déssèchée pa facile boire ainsi arnachée alors désespoir repris masque nasal
721,Je ne voudrais pas vous décevoir mais lorsque j'avais posé la question: Combien de temps vais-je garder cette machine?,recherche_information,traitement,non,recherche_information_traitement_non,voudrais pa décevoir lorsque posé question combien temp vais garder cette machine
418,"Avant hier, nouveau RDV chez le cardio qui me dit qu’il me faut d’urgence porter un masque pour lutter contre les apnées du sommeil :",partage_experience,traitement,non,partage_experience_traitement_non,avant hier nouveau rdv cardio dit faut urgence porter masque lutter contre apnées sommeil
399,sachant qu'elle ne s'en rend pas compte.,recherche_information,symptome,non,recherche_information_symptome_non,sachant rend pa compte
774,ce qui n'était pas le cas.,partage_experience,symptome,non,partage_experience_symptome_non,pa ca
291,Pour la mise en place de la PPC (si ton enregistrement démontre que tu fais des apnées) c'est un prestataire de santé qui fera l'installation.,partage_experience,traitement,non,partage_experience_traitement_non,mise place ppc si enregistrement démontre fais apnées prestataire santé fera installation
404,"Comme ça ça fait penser à un syndrome d'ondine, mais c'est une maladie genetique tres rare, sinon apres ça peut aussi venir d'un terrain specifique, un petit pbm lié au nerf phrénique, au systeme nerveux autonome...",partage_experience,diagnostique,non,partage_experience_diagnostique_non,comme fait penser syndrome ondine maladie genetique tres rare sinon apres peut aussi venir terrain specifique petit pbm lié nerf phrénique systeme nerveux autonome
108,"La plupart y arrivent cependant, après quelques essais, en changeant parfois le type de masque.",partage_experience,diagnostique,non,partage_experience_diagnostique_non,plupart arrivent cependant après quelques essais changeant parfois type masque
663,☹️ qui a déjà été dans ce cas?,recherche_information,symptome,negatif,RARE_CLASS,EMOJI FROWNING FACE a déjà ca
850,"Elle vit seule et a besoin d'aide (repas, ménage, courses ..).",partage_experience,symptome,non,partage_experience_symptome_non,vit seule a besoin aide repas ménage course
348,Courage et tenez moi au courant si vous le voulez bien …,fonction_phatique,NA_CATEGORY,positif,fonction_phatique_NA_CATEGORY_positif,courage tenez courant si voulez bien
685,"Mon mari viends d'avoir sa machine (il faisait 90 fois de l'heure entre 20 et 40 secondes) et il a eu un masque Nasale, il a detester sa premiere nuit...",partage_experience,traitement,negatif,partage_experience_traitement_negatif,mari viends avoir machine faisait NUM fois heure entre NUM NUM secondes a masque nasale a detester premiere nuit
199,"Le gars qui s'occupe de mon matériel a spontanément remarqué que j'avais un tout petit ""museau"" pour un grand masque.",partage_experience,diagnostique,non,partage_experience_diagnostique_non,gar occupe matériel a spontanément remarqué tout petit museau grand masque
734,"Si je ne me soigne pas, quel est le risque?",recherche_information,diagnostique,non,recherche_information_diagnostique_non,si soigne pa quel risque
434,"au début, je ne supportais pas du tout.",partage_experience,symptome,negatif,partage_experience_symptome_negatif,début supportais pa tout
892,Je n'ai pas l'énergie ni de légitimité professionnelle dans la santé pour le convaincre d'adopter des mesures qui me semblent de bon sens.,partage_experience,symptome,negatif,partage_experience_symptome_negatif,pa énergie légitimité professionnelle santé convaincre adopter mesures semblent bon sen
336,"Bonsoir Marie,",fonction_phatique,NA_CATEGORY,non,fonction_phatique_NA_CATEGORY_non,bonsoir marie
480,Le soir j'essaie de bien la calmer pour qu'elle s'endorme sereinement ....,partage_experience,symptome,positif,partage_experience_symptome_positif,soir essaie bien calmer endorme sereinement
916,Ma mère a un symptôme depuis très longtemps et son état se dégrade.,partage_experience,symptome,non,partage_experience_symptome_non,mère a symptôme depuis très longtemps état dégrade
87,"De plus, je ressent comme une sensation d'angoisse, je n'ai mal nul part, mais c'est juste un sensation désagréable.",partage_experience,symptome,negatif,partage_experience_symptome_negatif,plus ressent comme sensation angoisse mal nul part juste sensation désagréable
730,Merci d'avance,fonction_phatique,NA_CATEGORY,non,fonction_phatique_NA_CATEGORY_non,merci avance
670,"je 45 apnées par heure, je n'en fait plus que 4!",partage_experience,symptome,positif,partage_experience_symptome_positif,NUM apnées heure fait plus NUM
244,"tout cela ne me rassure guère ^^, je vais aller voir un neuro ..par contre pour ce qui est de la narcoleptie, je ne pense pas, car je suis complètement réveillé, je suis juste ""trop"" concentré , en aucun cas je dors ou autre , et je me souviens à chaque fois de ce qui se passe ,merci pour vos réponses si rapides",partage_experience,symptome,negatif,partage_experience_symptome_negatif,tout cela rassure guère vais aller voir neuro contre narcoleptie pense pa complètement réveillé juste trop concentré aucun ca dors autre souviens chaque fois passe merci réponses si rapides
240,Ben là comme ça je pense que tu devrais aller voir un neurologue.,partage_experience,traitement,non,partage_experience_traitement_non,ben là comme pense devrais aller voir neurologue
217,"Merci Fabrice, pour vos encouragements.",fonction_phatique,NA_CATEGORY,positif,fonction_phatique_NA_CATEGORY_positif,merci fabrice encouragement
956,Cependant il s’agit de résultat préliminaire.,partage_experience,diagnostique,non,partage_experience_diagnostique_non,cependant agit résultat préliminaire
14,Résultat: Les douleurs du réveil semblent s'estomper …,partage_experience,traitement,non,partage_experience_traitement_non,résultat douleurs réveil semblent estomper
167,"Mais j'ai préféré l'attache d'un ancien 100% nasale que j'avais mis sa sangle sur un autre, d'ailleurs le technicien n'avait pas compris pourquoi la sangle ne correspondait pas à celle d'origine.",partage_experience,traitement,non,partage_experience_traitement_non,préféré attache ancien NUM nasale mi sangle autre ailleurs technicien pa compris pourquoi sangle correspondait pa celle origine
627,"Si j'ai bien compris : selon les fabricants, la machine ne causerait pas de pneumothorax mais pourrait provoquer une recidive pour une personne qui en a deja fait un?",recherche_information,traitement,non,recherche_information_traitement_non,si bien compris selon fabricants machine causerait pa pneumothorax pourrait provoquer recidive personne a deja fait
498,Bon courage et surtout beaucoup de patience.,fonction_phatique,NA_CATEGORY,positif,fonction_phatique_NA_CATEGORY_positif,bon courage surtout beaucoup patience
547,"N'avez-vous pas revu le pneumologue depuis depuis octobre, il y a peut-être des réglages à faire sur la machine.",recherche_information,traitement,non,recherche_information_traitement_non,pa revu pneumologue depuis depuis octobre a peut être réglages faire machine
513,"Mais d’après lui, il gagne beaucoup en qualité de sommeil.",partage_experience,symptome,non,partage_experience_symptome_non,après gagne beaucoup qualité sommeil
599,Impossible de connaitre la cause si ce n'est que j'etais fumeur.,partage_experience,symptome,non,partage_experience_symptome_non,impossible connaitre cause si etais fumeur
234,"voila, si quelqu'un se reconnait ou sait quelque chose à ce sujet, je suis preneur et je vous en remercie d'avance",recherche_information,diagnostique,non,recherche_information_diagnostique_non,voila si quelqu reconnait sait quelque chose sujet preneur remercie avance
12,Résultat: Aucun changement,partage_experience,traitement,non,partage_experience_traitement_non,résultat aucun changement
733,Je dors très bien.,partage_experience,symptome,non,partage_experience_symptome_non,dors très bien
446,en demi sommeil je n'arrive po a reguler ceci...,partage_experience,symptome,non,partage_experience_symptome_non,demi sommeil arrive po a reguler ceci
198,Tout simplement avec un test de sommeil ?Ça a été mon cas aussi.,recherche_information,diagnostique,non,recherche_information_diagnostique_non,tout simplement test sommeil a ca aussi
778,"En parallèle, je vois une physiothérapeute et fais des exercices de renforcement des muscles de la langue afin d'éviter qu'elle recule, ce qui a donné des bons résultats jusqu'à présent.",partage_experience,traitement,non,partage_experience_traitement_non,parallèle vois physiothérapeute fais exercices renforcement muscle langue afin éviter recule a donné bons résultats jusqu présent
74,"Lors d'une période de stress ou de tension, cette phase est parfois trop brutale du coup sa provoque se réveil en sursaut, comme si une alarme dans le cerveau nous disait de se reveiller avant de crever.",partage_experience,diagnostique,non,partage_experience_diagnostique_non,lors période stress tension cette phase parfois trop brutale coup provoque réveil sursaut comme si alarme cerveau disait reveiller avant crever
536,Prenez un RV en emportant votre appareil.,partage_experience,traitement,non,partage_experience_traitement_non,prenez rv emportant appareil
214,"Au moins maintenant j'arrive à mieux supporter la machine, car je pense que comme vous quand je bougeais ça occasionnait des fuites.",partage_experience,traitement,non,partage_experience_traitement_non,moins maintenant arrive mieux supporter machine pense comme quand bougeais occasionnait fuites
509,"Il avait l'air très inquiet , il me rappell demain pour me donner le rdv au CHU car c'est lui même qui le prend pour que ca soit le plus rapide possible, la je me dit , c'est que ca craint vraiment .....",partage_experience,traitement,negatif,partage_experience_traitement_negatif,air très inquiet rappell demain donner rdv chu prend ca plus rapide possible dit ca craint vraiment
563,Et votre mari depuis l'utilisation de la machine n'est plus du tout fatigué ?,recherche_information,symptome,non,recherche_information_symptome_non,mari depuis utilisation machine plus tout fatigué
802,Pour les exercices qui permettent de tonifier la langue et diminuer son recul lors du sommeil...,partage_experience,traitement,non,partage_experience_traitement_non,exercices permettent tonifier langue diminuer recul lors sommeil
625,ce que je peux te dire c que j'ai une rampe de 30mn pr m'endormir pdt laquelle la pression est geree en fonction de mes inspirations.,partage_experience,traitement,non,partage_experience_traitement_non,peux dire rampe NUM mn pr endormir pdt laquelle pression geree fonction inspiration
880,"On sait juste que les personnes ayant une comorbidité telle que maladie cardiaque, maladie pulmonaire, diabète, obésité, cancer en évolution, ont plus de risque de développer une complication.",partage_experience,diagnostique,non,partage_experience_diagnostique_non,sait juste personnes comorbidité telle maladie cardiaque maladie pulmonaire diabète obésité cancer évolution plus risque développer complication
192,Ce n'est pas une position naturelle pour moi.,partage_experience,symptome,non,partage_experience_symptome_non,pa position naturelle
228,"alors je prend une grande aspiration et là au bout de quelques secondes, tout redevient ( enfin "" je "" ) redeviens normal ...",partage_experience,symptome,non,partage_experience_symptome_non,alors prend grande aspiration là bout quelques secondes tout redevient enfin redeviens normal
866,"Tout dépend de vos défenses immunitaires, lesquelles peuvent être fragilisées durant une chimiothérapie.",partage_experience,diagnostique,non,partage_experience_diagnostique_non,tout dépend défenses immunitaires lesquelles peuvent être fragilisées durant chimiothérapie
872,"Ayant eu une maladie de Hodgkin stade IV soignée par chimiothérapie renforcée il y a 10 ans, est-on plus vulnérable au coronavirus ?",recherche_information,diagnostique,non,recherche_information_diagnostique_non,maladie hodgkin stade iv soignée chimiothérapie renforcée a NUM an plus vulnérable coronavirus
162,"Si vous vous sentez concerné(e)s par ce problème, n'hésitez pas à réagir.",recherche_information,symptome,non,recherche_information_symptome_non,si sentez concerné e problème hésitez pa réagir
341,"J’ai eu l’impression de lâcher quelque chose et je me suis endormie rapidement, sans réveils dans la nuit ou presque.",partage_experience,traitement,non,partage_experience_traitement_non,impression lâcher quelque chose endormie rapidement réveils nuit presque
750,- Changements (très) fréquents de position,partage_experience,symptome,non,partage_experience_symptome_non,changements très fréquents position
662,"Sauf que depuis 4/5 jours, je recommence à me réveiller la nuit avec du mal à me rendormir et je recommence à ronfler..",partage_experience,symptome,non,partage_experience_symptome_non,sauf depuis NUM NUM jours recommence réveiller nuit mal rendormir recommence ronfler
43,"Je ferme les yeux, commence à m'endormir, et je me réveille 5 ou 10 secondes après avec l'impression d'avoir arrêté de respirer, et le coeur qui bat, avec parfois au fur et à mesure une petite douleur qui s'installe dans la poitrine.",partage_experience,symptome,non,partage_experience_symptome_non,ferme yeux commence endormir réveille NUM NUM secondes après impression avoir arrêté respirer coeur bat parfois fur mesure petite douleur installe poitrine
125,"Il faisait des apnées très longues, son sommeil était très perturbé.",partage_experience,symptome,non,partage_experience_symptome_non,faisait apnées très longues sommeil très perturbé
222,Je comprends à quel point il a été difficile pour vous de garder le masque.,partage_experience,traitement,non,partage_experience_traitement_non,comprends quel point a difficile garder masque
535,"Les personnes qui font les relevés ne sont pas spécialistes du sommeil, elles reçoivent les instructions du spécialiste pour les réglages.",partage_experience,traitement,non,partage_experience_traitement_non,personnes font relevés pa spécialistes sommeil reçoivent instruction spécialiste réglages
527,Au bout de combien de temps?,recherche_information,diagnostique,non,recherche_information_diagnostique_non,bout combien temp
830,"En revanche, dans le cadre de protocoles de soins pour un cancer, il faut respecter les prescriptions de l'oncologue.",partage_experience,diagnostique,non,partage_experience_diagnostique_non,revanche cadre protocoles soins cancer faut respecter prescription oncologue
992,Donc voilà je balise un peu car des douleurs qui persiste après une semaine c'est un peu bizarre et j'ai vraiment peur du pire.,partage_experience,symptome,negatif,partage_experience_symptome_negatif,voilà balise peu douleurs persiste après semaine peu bizarre vraiment peur pire
270,"Je suis très souvent fatiguée, avec de gros coup de mou dans la journée et des douleurs diffuses.",partage_experience,symptome,non,partage_experience_symptome_non,très souvent fatiguée gros coup mou journée douleurs diffuses
339,"La première semaine, j’ai bien cru que je n’y arriverai jamais, d’autant que je dormais encore moins bien qu’avant et que j’étais très fatiguée.",partage_experience,traitement,non,partage_experience_traitement_non,première semaine bien cru arriverai jamais autant dormais encore moins bien avant très fatiguée
768,"J'ai pris rendez vous à la clinique du sommeil, deux mois d'attente ...",partage_experience,traitement,non,partage_experience_traitement_non,pris rendez clinique sommeil deux mois attente
862,J'ai 32 ans et n'ai pas encore fait mon irm et tep scan de contrôle.,partage_experience,traitement,non,partage_experience_traitement_non,NUM an pa encore fait irm tep scan contrôle
186,Pour information je suis plus appareillé pour insuffisance respiratoire chronique (les échanges au niveau respiratoire ne se font pas très bien pendant la nuit et mon taux de CO2 augmente).,partage_experience,symptome,non,partage_experience_symptome_non,information plus appareillé insuffisance respiratoire chronique échanges niveau respiratoire font pa très bien pendant nuit taux co NUM augmente
847,"Pas de traitement pour l'instant, elle revoit son chirurgien dans 3 semaines pour connaître la suite du traitement.",partage_experience,traitement,non,partage_experience_traitement_non,pa traitement instant revoit chirurgien NUM semaines connaître suite traitement
826,Merci pour vos réponses.,fonction_phatique,NA_CATEGORY,non,fonction_phatique_NA_CATEGORY_non,merci réponses
273,"Et aussi, je ronfle.",partage_experience,symptome,non,partage_experience_symptome_non,aussi ronfle
676,"à moins qu'à 60ans je sois trop vieux et qu'avec ou sans appareil, je suis bon à jeter à la poubelle.",partage_experience,symptome,negatif,partage_experience_symptome_negatif,moins NUM an trop vieux appareil bon jeter poubelle
797,Les médecins ne s'entendent pas sur le sujet..,partage_experience,diagnostique,non,partage_experience_diagnostique_non,médecins entendent pa sujet
60,Consommez-vous beaucoup de produits avec de la caféine?,recherche_information,symptome,non,recherche_information_symptome_non,consommez beaucoup produits caféine
551,"J'ai eu exactement le même problème, ça fait deux ans qu'on a diagnostiqué mon problème d'apnées du sommeil, mais ça ne s'améliorait pas vraiment, j'était toujours autant fatigué, je ne comprenais pas vraiment pourquoi.",partage_experience,symptome,non,partage_experience_symptome_non,exactement problème fait deux an a diagnostiqué problème apnées sommeil améliorait pa vraiment toujours autant fatigué comprenais pa vraiment pourquoi
40,Salut à tous!,fonction_phatique,NA_CATEGORY,non,fonction_phatique_NA_CATEGORY_non,salut tous
933,"La rate intervient dans le système immunitaire, vous avez donc un terrain plus fragile vis-à-vis du coronavirus qu'une personne ayant encore sa rate.",partage_experience,diagnostique,non,partage_experience_diagnostique_non,rate intervient système immunitaire terrain plus fragile vi vi coronavirus personne encore rate
543,Mais depuis La Fatigue Est revenu avec les problèmes de concentration et l'impression que ça tourne...,partage_experience,symptome,negatif,partage_experience_symptome_negatif,depuis fatigue revenu problèmes concentration impression tourne
195,"Parce que, tout bêtement, j'ai trop bougé ce qui a eu pour effet de détacher mon masque (qui couvre mon nez et ma bouche).",partage_experience,symptome,non,partage_experience_symptome_non,parce tout bêtement trop bougé a effet détacher masque couvre nez bouche
917,Elle a du mal à respirer.,partage_experience,symptome,non,partage_experience_symptome_non,a mal respirer
751,"- Fatigue et maux de tête au réveil (tête ""lourde"" )",partage_experience,symptome,non,partage_experience_symptome_non,fatigue maux tête réveil tête lourde
59,"Pour ma part je vais voir mon doc au milieu avril, je vais lui en parler.",partage_experience,traitement,non,partage_experience_traitement_non,part vais voir doc milieu avril vais parler
44,"J'ai de véritables insomnies à cause de ça, et ce malgré les huiles essentielles que je peux utiliser pour me détendre.",partage_experience,symptome,non,partage_experience_symptome_non,véritables insomnies cause malgré huiles essentielles peux utiliser détendre
322,C’est le Philips dream wear.,partage_experience,traitement,non,partage_experience_traitement_non,philip dream wear
294,Je verrai bien dans ce cas.,fonction_phatique,NA_CATEGORY,non,fonction_phatique_NA_CATEGORY_non,verrai bien ca
408,"J'ai chercher sur le net et j'ai vue un rapport de chirurgiens américains qui faisais des tests sur un patient faisans de l'épilepsie réfractaire à toute médicaments, et en gros ils se sont rendu compte que lorsqu'ils envoyais de petites décharges au niveau de l’amygdale, sa provoquait de façon inconsciente des arrêts respiratoires éveillé alors que le patient était dans une salle d'analyse à regarder autour de lui.",partage_experience,traitement,non,partage_experience_traitement_non,chercher net vue rapport chirurgiens américains faisais test patient faisans épilepsie réfractaire toute médicaments gros rendu compte lorsqu envoyais petite décharges niveau amygdale provoquait façon inconsciente arrêts respiratoires éveillé alors patient salle analyse regarder autour
138,Je dors en moyenne cinq heures par nuit avec l'appareil.,partage_experience,symptome,non,partage_experience_symptome_non,dors moyenne cinq heures nuit appareil
